media_subtype,vendor
FEE,FLASHTALKING PTY LIMITED
INFLUENCER,VIRAL PITCH TECHNOLOGIES PRIVATE LIMITED
ECOMMERCE,PT. GLOBAL JET ECOMMERCE
TECH SERVICE,WPP Marketing Communications (Malaysia) Sbn Bhd
VIDEO,SHOPEE INTERNATIONAL INDONESIA; PT
MOBILE APP,Affinity Global Inc
FEE,GOOGLE INDONESIA; PT
AFFILIATE,ECART WEBPORTAL INDONESIA; PT.
DISPLAY (ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - Programmatic
CONTENT & PRODUCTION,TRANS DIGITAL MEDIA; PT
DISPLAY,GAGAS MAHADAYA INDERA; PT.
FEE,POPS ENTERTAIMENT GROUP; PT
DISPLAY,FACEBOOK IRELAND LIMITED.
DISPLAY,GLOBAL DIGITAL NIAGA; PT
INFLUENCER,CLOZETTE INTERAKTIF INDONESIA; PT.
VIDEO,ADV (SEA) PTE. LTD.
VIDEO,GOOGLE INDONESIA; PT
PACKAGE,KOMPAS CYBER MEDIA; PT.
DISPLAY,GRAB TEKNOLOGI INDONESIA; PT.
DISPLAY,TRANS DIGITAL MEDIA; PT
DISPLAY,GLOBAL LOYALTY INDONESIA; PT
TECH SERVICE,INTELLECTADS MEDIA PTE. LTD.
CONTENT & PRODUCTION,MAHA KARYA CITRAPRASADA PT.
VIDEO,YIELD MARKETING TECHNOLOGY; PT.
INFLUENCER,ANYMIND TECHNOLOGY INDONESIA; PT.
AD-OPS,INTEGRAL AD SCIENCE SINGAPORE PTE LTD
AD-OPS,GOOGLE INDONESIA; PT
MOBILE APP,BITSMEDIA PTE. LTD.
VIDEO,GAGAS MAHADAYA INDERA; PT.
DISPLAY,THE TRADE DESK; INC.
FEE (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
SEARCH,ECART WEBPORTAL INDONESIA; PT.
CONTENT & PRODUCTION,GAGAS MAHADAYA INDERA; PT. (INCA)
DISPLAY,GAGAS MAHADAYA INDERA; PT.
VIDEO,GOOGLE INDONESIA; PT (NDS)
PACKAGE,CLOZETTE INTERAKTIF INDONESIA; PT.
ECOMMERCE,MP GAMES; PT.
INFLUENCER,SUPER FANTASI DOT COM PT.
AD-OPS,ROCKET MEDIA GLOBAL;PT
PUBLISHER,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
DISPLAY,TELEKOMUNIKASI SELULAR; PT.
FEE,AD ASIA TECHNOLOGY INDONESIA
FEE,SILVERPUSH GLOBAL PTE. LTD
PAID VIDEO,MP GAMES; PT. (NDS)
CONTENT & PRODUCTION,YIELD MARKETING TECHNOLOGY; PT.
OOH,GOOGLE INDONESIA; PT
AFFILIATE,GAGAS MAHADAYA INDERA; PT. (INCA)
CONTENT & PRODUCTION,MEDIA INSANI ABADI; PT.
CONTENT & PRODUCTION,TWITTER ASIA PASIFIC. PTE. LTD
CONTENT & PRODUCTION,FORMASI AGUNG SELARAS;  PT.
FEE,GAGAS MAHADAYA INDERA; PT. (INCA)
FEE,HOME TESTER INDONESIA; PT.
VIDEO,GOOGLE INDONESIA; PT
VIDEO,DREAM BAHAGIA INDONESIA; PT.
CONTENT & PRODUCTION,MNC OKEZONE NETWORK; PT
DISPLAY,DOUBLE VERIFY INC
INFLUENCER,GAGAS MAHADAYA INDERA; PT. (INCA)
DISPLAY,CRITEO SINGAPORE PTE. LTD.
CONTENT & PRODUCTION,MNC OKEZONE NETWORK; PT
ECOMMERCE,PT. MEDIA KREATIF SOLUSINDO
VIDEO,GAGAS MAHADAYA INDERA; PT.
CONTENT & PRODUCTION (ICO),GAGAS MAHADAYA INDERA; PT. (ICO)
CONTENT & PRODUCTION,PARTIPOST KREASI GLOBAL PRATAMA; PT
DISPLAY,DETEKSI BASKET LINTAS INDONESIA; PT
DISPLAY,INMOBI PTE. LTD.
SPONSORSHIP/ PACKAGE,BENTANG JELAJAH NUSANTARA PT. (INT)
VIDEO,IMAGE FUTURE INVESTMENT (HK) LTD
DISPLAY,GOOGLE INDONESIA; PT
AFFILIATE,GAGAS MAHADAYA INDERA; PT. (ICO) - INCA
FEE,SUPER FANTASI DOT COM PT.
DISPLAY,SHOPEE INTERNATIONAL INDONESIA; PT
CONTENT & PRODUCTION,DAILY DINAMIKA KREASI; PT.
AD-OPS,GOOGLE INDONESIA; PT
FEE,CLOZETTE INTERAKTIF INDONESIA; PT.
CONTENT & PRODUCTION,RUTE ENAMPULUHENAM INDONESIA; PT
LIVE STREAMING,SHOPEE INTERNATIONAL INDONESIA; PT
FEE,GOOGLE INDONESIA; PT
SPONSORSHIP/ PACKAGE,SHOPEE INTERNATIONAL INDONESIA; PT
ECOMMERCE,PT MISS SPICY INTERNATIONAL
DISPLAY,BERITA MEDIATAMA INDONESIA PT.
